"","chromosome","position","type"
"chr1_159767","chr1",159767,"exon"
"chr1_456008","chr1",456008,"noncoding"
"chr1_600909","chr1",600909,"intron"
"chr1_563262","chr1",563262,"noncoding"
"chr1_637078","chr1",637078,"intron"
"chr1_530225","chr1",530225,"noncoding"
"chr1_799826","chr1",799826,"noncoding"
"chr1_977178","chr1",977178,"exon"
"chr1_279884","chr1",279884,"exon"
"chr1_125973","chr1",125973,"noncoding"
"chr1_531398","chr1",531398,"intron"
"chr1_992207","chr1",992207,"exon"
"chr1_166279","chr1",166279,"exon"
"chr1_14684","chr1",14684,"intron"
"chr1_910120","chr1",910120,"noncoding"
"chr1_712549","chr1",712549,"noncoding"
"chr1_564925","chr1",564925,"exon"
"chr1_572747","chr1",572747,"noncoding"
"chr1_371921","chr1",371921,"exon"
"chr1_17467","chr1",17467,"intron"
"chr1_255702","chr1",255702,"noncoding"
"chr1_587189","chr1",587189,"exon"
"chr1_243753","chr1",243753,"noncoding"
"chr1_661848","chr1",661848,"intron"
"chr1_170152","chr1",170152,"exon"
"chr1_512267","chr1",512267,"exon"
"chr1_165425","chr1",165425,"noncoding"
"chr1_570958","chr1",570958,"intron"
"chr1_444538","chr1",444538,"exon"
"chr1_4507","chr1",4507,"exon"
"chr1_615559","chr1",615559,"intron"
"chr1_660193","chr1",660193,"noncoding"
"chr1_782926","chr1",782926,"noncoding"
"chr1_755595","chr1",755595,"exon"
"chr1_651621","chr1",651621,"exon"
"chr1_44152","chr1",44152,"exon"
"chr1_387767","chr1",387767,"intron"
"chr1_434524","chr1",434524,"intron"
"chr1_442507","chr1",442507,"exon"
"chr1_88148","chr1",88148,"intron"
"chr1_726173","chr1",726173,"noncoding"
"chr1_654474","chr1",654474,"noncoding"
"chr1_173984","chr1",173984,"intron"
"chr1_138590","chr1",138590,"intron"
"chr1_294364","chr1",294364,"exon"
"chr1_742864","chr1",742864,"noncoding"
"chr1_211433","chr1",211433,"noncoding"
"chr1_185420","chr1",185420,"intron"
"chr1_211935","chr1",211935,"exon"
"chr1_35493","chr1",35493,"noncoding"
"chr1_71078","chr1",71078,"intron"
"chr1_380188","chr1",380188,"exon"
"chr1_430635","chr1",430635,"exon"
"chr1_536667","chr1",536667,"exon"
"chr1_63867","chr1",63867,"noncoding"
"chr1_332944","chr1",332944,"exon"
"chr1_247914","chr1",247914,"intron"
"chr1_41286","chr1",41286,"intron"
"chr1_18589","chr1",18589,"exon"
"chr1_62893","chr1",62893,"noncoding"
"chr1_923073","chr1",923073,"intron"
"chr1_642161","chr1",642161,"exon"
"chr1_871029","chr1",871029,"exon"
"chr1_604022","chr1",604022,"exon"
"chr1_259908","chr1",259908,"exon"
"chr1_705056","chr1",705056,"exon"
"chr1_998701","chr1",998701,"intron"
"chr1_180946","chr1",180946,"intron"
"chr1_514127","chr1",514127,"noncoding"
"chr1_470377","chr1",470377,"intron"
"chr1_409132","chr1",409132,"noncoding"
"chr1_767577","chr1",767577,"noncoding"
"chr1_506554","chr1",506554,"exon"
"chr1_958416","chr1",958416,"intron"
"chr1_283852","chr1",283852,"noncoding"
"chr1_477701","chr1",477701,"exon"
"chr1_976550","chr1",976550,"exon"
"chr1_240611","chr1",240611,"intron"
"chr1_312009","chr1",312009,"intron"
"chr1_514838","chr1",514838,"exon"
"chr1_474344","chr1",474344,"exon"
"chr1_882549","chr1",882549,"intron"
"chr1_603959","chr1",603959,"intron"
"chr1_403206","chr1",403206,"intron"
"chr1_349483","chr1",349483,"intron"
"chr1_500454","chr1",500454,"noncoding"
"chr1_572137","chr1",572137,"exon"
"chr1_750905","chr1",750905,"intron"
"chr1_874191","chr1",874191,"noncoding"
"chr1_781926","chr1",781926,"intron"
"chr1_889674","chr1",889674,"exon"
"chr1_400","chr1",400,"exon"
"chr1_316696","chr1",316696,"noncoding"
"chr1_468475","chr1",468475,"noncoding"
"chr1_447215","chr1",447215,"intron"
"chr1_495562","chr1",495562,"noncoding"
"chr1_511696","chr1",511696,"intron"
"chr1_38222","chr1",38222,"intron"
"chr1_227081","chr1",227081,"exon"
"chr1_93011","chr1",93011,"exon"
"chr2_323650","chr2",323650,"exon"
"chr2_752356","chr2",752356,"noncoding"
"chr2_177858","chr2",177858,"noncoding"
"chr2_721716","chr2",721716,"noncoding"
"chr2_264051","chr2",264051,"noncoding"
"chr2_245278","chr2",245278,"intron"
"chr2_581369","chr2",581369,"intron"
"chr2_511525","chr2",511525,"exon"
"chr2_91944","chr2",91944,"intron"
"chr2_81065","chr2",81065,"intron"
"chr2_196198","chr2",196198,"exon"
"chr2_302020","chr2",302020,"exon"
"chr2_444840","chr2",444840,"intron"
"chr2_164694","chr2",164694,"intron"
"chr2_648825","chr2",648825,"intron"
"chr2_438533","chr2",438533,"noncoding"
"chr2_142805","chr2",142805,"intron"
"chr2_558786","chr2",558786,"noncoding"
"chr2_163711","chr2",163711,"exon"
"chr2_307792","chr2",307792,"noncoding"
"chr2_247067","chr2",247067,"exon"
"chr2_580548","chr2",580548,"exon"
"chr2_566014","chr2",566014,"noncoding"
"chr2_885163","chr2",885163,"exon"
"chr2_444448","chr2",444448,"exon"
"chr2_884385","chr2",884385,"intron"
"chr2_923198","chr2",923198,"noncoding"
"chr2_714761","chr2",714761,"noncoding"
"chr2_339712","chr2",339712,"intron"
"chr2_5441","chr2",5441,"noncoding"
"chr2_774394","chr2",774394,"noncoding"
"chr2_55774","chr2",55774,"noncoding"
"chr2_329989","chr2",329989,"noncoding"
"chr2_41341","chr2",41341,"noncoding"
"chr2_793290","chr2",793290,"exon"
"chr2_4920","chr2",4920,"exon"
"chr2_462615","chr2",462615,"exon"
"chr2_541918","chr2",541918,"exon"
"chr2_548501","chr2",548501,"intron"
"chr2_409741","chr2",409741,"exon"
"chr2_183456","chr2",183456,"intron"
"chr2_801715","chr2",801715,"exon"
"chr2_48098","chr2",48098,"intron"
